Time, Rain(mm), Latitude, -7.792, Longitude, 110.364,
PERSIANN_1h2010010100, 0.000
PERSIANN_1h2010010101, 0.000
PERSIANN_1h2010010102, 0.000
PERSIANN_1h2010010103, 0.000
PERSIANN_1h2010010104, 0.000
PERSIANN_1h2010010105, 0.000
PERSIANN_1h2010010106, 0.000
PERSIANN_1h2010010107, 0.000
PERSIANN_1h2010010108, 0.000
PERSIANN_1h2010010109, 0.000
PERSIANN_1h2010010110, 0.000
PERSIANN_1h2010010111, 0.300
PERSIANN_1h2010010112, 0.980
PERSIANN_1h2010010113, 1.070
PERSIANN_1h2010010114, 0.000
PERSIANN_1h2010010115, 0.000
PERSIANN_1h2010010116, 0.000
PERSIANN_1h2010010117, 0.000
PERSIANN_1h2010010118, 0.000
PERSIANN_1h2010010119, 0.000
PERSIANN_1h2010010120, 0.000
PERSIANN_1h2010010121, 0.000
PERSIANN_1h2010010122, 0.000
PERSIANN_1h2010010123, 0.000
PERSIANN_1h2010010200, 0.000
PERSIANN_1h2010010201, 0.000
PERSIANN_1h2010010202, 0.000
PERSIANN_1h2010010203, 0.000
PERSIANN_1h2010010204, 0.000
PERSIANN_1h2010010205, 0.000
PERSIANN_1h2010010206, 0.000
PERSIANN_1h2010010207, 0.000
PERSIANN_1h2010010208, 0.000
PERSIANN_1h2010010209, 0.930
PERSIANN_1h2010010210, 2.920
PERSIANN_1h2010010211, 5.880
PERSIANN_1h2010010212, 3.430
PERSIANN_1h2010010213, 1.960
PERSIANN_1h2010010214, 0.480
PERSIANN_1h2010010215, 0.000
PERSIANN_1h2010010216, 0.000
PERSIANN_1h2010010217, 0.000
PERSIANN_1h2010010218, 0.000
PERSIANN_1h2010010219, 0.000
PERSIANN_1h2010010220, 0.000
PERSIANN_1h2010010221, 0.000
PERSIANN_1h2010010222, 0.000
PERSIANN_1h2010010223, 0.000
PERSIANN_1h2010010300, 0.000
PERSIANN_1h2010010301, 0.000
PERSIANN_1h2010010302, 0.000
PERSIANN_1h2010010303, 0.000
PERSIANN_1h2010010304, 0.000
PERSIANN_1h2010010305, 0.000
PERSIANN_1h2010010306, 0.000
PERSIANN_1h2010010307, 0.000
PERSIANN_1h2010010308, 0.000
PERSIANN_1h2010010309, 0.000
PERSIANN_1h2010010310, 2.140
PERSIANN_1h2010010311, 3.650
PERSIANN_1h2010010312, 5.230
PERSIANN_1h2010010313, 4.680
PERSIANN_1h2010010314, 2.410
PERSIANN_1h2010010315, 1.870
PERSIANN_1h2010010316, 0.710
PERSIANN_1h2010010317, 0.000
PERSIANN_1h2010010318, 0.000
PERSIANN_1h2010010319, 0.000
PERSIANN_1h2010010320, 0.000
PERSIANN_1h2010010321, 0.000
PERSIANN_1h2010010322, 0.000
PERSIANN_1h2010010323, 0.000
PERSIANN_1h2010010400, 0.470
PERSIANN_1h2010010401, 1.100
PERSIANN_1h2010010402, 1.530
PERSIANN_1h2010010403, 0.000
PERSIANN_1h2010010404, 0.000
PERSIANN_1h2010010405, 0.000
PERSIANN_1h2010010406, 0.000
PERSIANN_1h2010010407, 0.000
PERSIANN_1h2010010408, 0.000
PERSIANN_1h2010010409, 0.000
PERSIANN_1h2010010410, 1.830
PERSIANN_1h2010010411, 7.580
PERSIANN_1h2010010412, 10.280
PERSIANN_1h2010010413, 2.640
PERSIANN_1h2010010414, 1.510
PERSIANN_1h2010010415, 1.170
PERSIANN_1h2010010416, 0.300
PERSIANN_1h2010010417, 0.290
PERSIANN_1h2010010418, 0.000
PERSIANN_1h2010010419, 0.270
PERSIANN_1h2010010420, 0.520
PERSIANN_1h2010010421, 0.000
PERSIANN_1h2010010422, 0.000
PERSIANN_1h2010010423, 0.000
PERSIANN_1h2010010500, 0.000
PERSIANN_1h2010010501, 0.000
PERSIANN_1h2010010502, 0.000
PERSIANN_1h2010010503, 0.000
PERSIANN_1h2010010504, 0.000
PERSIANN_1h2010010505, 0.000
PERSIANN_1h2010010506, 0.000
PERSIANN_1h2010010507, 0.000
PERSIANN_1h2010010508, 0.700
PERSIANN_1h2010010509, 1.630
PERSIANN_1h2010010510, 2.750
PERSIANN_1h2010010511, 2.880
PERSIANN_1h2010010512, 6.320
PERSIANN_1h2010010513, 6.620
PERSIANN_1h2010010514, 3.490
PERSIANN_1h2010010515, 1.950
PERSIANN_1h2010010516, 1.860
PERSIANN_1h2010010517, 0.580
PERSIANN_1h2010010518, 0.000
PERSIANN_1h2010010519, 0.000
PERSIANN_1h2010010520, 0.000
PERSIANN_1h2010010521, 0.000
PERSIANN_1h2010010522, 0.000
PERSIANN_1h2010010523, 0.000
PERSIANN_1h2010010600, 0.000
PERSIANN_1h2010010601, 0.000
PERSIANN_1h2010010602, 0.000
PERSIANN_1h2010010603, 0.000
PERSIANN_1h2010010604, 0.000
PERSIANN_1h2010010605, 0.000
PERSIANN_1h2010010606, 0.000
PERSIANN_1h2010010607, 1.600
PERSIANN_1h2010010608, 2.650
PERSIANN_1h2010010609, 2.520
PERSIANN_1h2010010610, 2.660
PERSIANN_1h2010010611, 2.870
