date,value,satellite_flag
2024-01-05 22:00,0.0000,01000000000000000000000000100000
2024-01-05 23:00,0.0000,11000000000000000000000000000000
2024-01-06 00:00,0.0000,11000000000000000000000000000000
2024-01-06 01:00,0.0000,11000000000000000000000000000000
2024-01-06 02:00,0.0000,11000000000000000000000000000000
2024-01-06 03:00,0.0000,11000000000000000000000000000000
2024-01-06 04:00,0.0000,11000000000000000000000000000000
2024-01-06 05:00,0.7804,01000000000000010000000000000000
2024-01-06 06:00,3.5043,11000000000000000000000000000000
2024-01-06 07:00,3.0900,11000000000000000000000000000000
2024-01-06 08:00,1.6743,01000000000000000010000000000000
2024-01-06 09:00,0.7677,11000000000000000000000000000000
2024-01-06 10:00,0.4299,01000000000000000000000000100000
2024-01-06 11:00,5.0221,11000000000000000000000000000000
2024-01-06 12:00,2.4954,11000000000000000000000000000000
2024-01-06 13:00,0.0923,01000000000000100000000000000000
2024-01-06 14:00,1.5299,11000000000000000000000000000000
2024-01-06 15:00,0.6776,11000000000000000000000000000000
2024-01-06 16:00,0.1337,11000000000000000000000000000000
2024-01-06 17:00,0.0184,11000000000000000000000000000000
2024-01-06 18:00,0.0000,01000000000000010000000000000000
2024-01-06 19:00,0.0000,11000000000000000000000000000000
2024-01-06 20:00,0.0000,01000000000000000010000000000000
2024-01-06 21:00,0.0000,11000000000000000000000000000000
2024-01-06 22:00,0.0000,01000000000000000000000000100000
2024-01-06 23:00,0.0000,11000000000000000000000000000000
2024-01-07 00:00,0.0000,11000000000000000000000000000000
2024-01-07 01:00,0.0000,11000000000000000000000000000000
2024-01-07 02:00,0.0000,01000000000000100000000000000000
2024-01-07 03:00,0.0000,11000000000000000000000000000000
2024-01-07 04:00,1.8140,11000000000000000000000000000000
2024-01-07 05:00,2.8295,11000000000000000000000000000000
2024-01-07 06:00,0.5493,01000000000000010000000000000000
2024-01-07 07:00,1.6489,11000000000000000000000000000000
2024-01-07 08:00,6.1817,01000000000000000010000000000000
2024-01-07 09:00,9.7074,11000000000000000000000000000000
2024-01-07 10:00,4.3538,01000000000000000000000000100000
2024-01-07 11:00,6.7715,11000000000000000000000000000000
2024-01-07 12:00,6.7095,11000000000000000000000000000000
2024-01-07 13:00,5.7896,11000000000000000000000000000000
2024-01-07 14:00,2.7468,11000000000000000000000000000000
2024-01-07 15:00,0.4650,11000000000000000000000000000000
2024-01-07 16:00,0.0653,11000000000000000000000000000000
2024-01-07 17:00,0.0479,11000000000000000000000000000000
2024-01-07 18:00,0.0366,11000000000000000000000000000000
2024-01-07 19:00,0.0438,11000000000000000000000000000000
2024-01-07 20:00,0.0547,11000000000000000000000000000000
2024-01-07 21:00,0.0927,11000000000000000000000000000000
2024-01-07 22:00,0.0787,11000000000000000000000000000000
2024-01-07 23:00,0.0000,11000000000000000000000000000000
2024-01-08 00:00,0.0000,11000000000000000000000000000000
2024-01-08 01:00,0.0000,01000000000001000000000000000000
2024-01-08 02:00,0.0000,01000000000000100000000000000000
2024-01-08 03:00,0.0000,11000000000000000000000000000000
2024-01-08 04:00,0.0000,11000000000000000000000000000000
2024-01-08 05:00,0.0000,11000000000000000000000000000000
2024-01-08 06:00,0.0000,11000000000000000000000000000000
2024-01-08 07:00,3.0517,11000000000000000000000000000000
2024-01-08 08:00,2.0617,01000000000000000010000000000000
2024-01-08 09:00,4.8821,11000000000000000000000000000000
2024-01-08 10:00,0.9727,01000000000000000000000000100000
2024-01-08 11:00,2.8018,11000000000000000000000000000000
2024-01-08 12:00,0.1861,01000000000001000000000000000000
2024-01-08 13:00,0.7451,11000000000000000000000000000000
2024-01-08 14:00,0.0000,01000000000000100000000000000000
2024-01-08 15:00,0.0000,11000000000000000000000000000000
2024-01-08 16:00,0.0000,11000000000000000000000000000000
2024-01-08 17:00,0.0000,11000000000000000000000000000000
2024-01-08 18:00,0.0000,01000000000000010000000000000000
2024-01-08 19:00,0.0000,11000000000000000000000000000000
2024-01-08 20:00,0.0000,11000000000000000000000000000000
2024-01-08 21:00,0.0000,11000000000000000000000000000000
2024-01-08 22:00,0.0000,11000000000000000000000000000000
2024-01-08 23:00,0.0000,11000000000000000000000000000000
2024-01-09 00:00,0.0000,01000000000001000000000000000000
2024-01-09 01:00,0.0000,01000000000000100000000000000000
